Respondent;Ort;Datenpartikel;Erklärbarkeit;Speicherung
1;4,38068;19,43662;24,05805;52,12464
2;34,96773;36,65521;6,29918;22,07788
4;11,58968;13,97496;29,95391;44,48146
7;11,85482;24,49291;0,13621;63,51605
8;10,12184;14,13258;32,56519;43,18038
9;12,58220;26,96888;18,79728;41,65164
11;27,10575;40,75697;5,67030;26,46698
12;6,15767;18,28590;17,90236;57,65407
13;30,07466;27,65460;26,59375;15,67699
14;13,68270;17,06780;45,21612;24,03338
16;9,72600;42,77758;10,25840;37,23802
17;16,66290;57,51991;3,95008;21,86711
18;13,07446;25,49018;10,23057;51,20479
20;8,66335;18,96498;20,04614;52,32554
21;7,13782;11,20061;19,18140;62,48017
22;12,14064;10,57085;9,02618;68,26233
23;27,88608;26,40630;20,26312;25,44449
24;11,53248;16,19532;3,91311;68,35909
25;15,80090;37,68763;6,33944;40,17202
26;4,67487;13,11820;17,55401;64,65292
27;14,23394;33,13987;2,72018;49,90601
28;10,95412;22,84305;10,41220;55,79063
30;13,89458;28,53622;12,47841;45,09079
31;7,35634;18,93877;20,27138;53,43351
32;2,16899;48,87871;6,62236;42,32994
35;24,93413;12,92949;32,33826;29,79812
37;14,34946;34,77532;10,48120;40,39403
40;25,10345;24,15559;12,63380;38,10716
42;21,99655;27,68021;4,72404;45,59920
44;25,71517;17,49423;18,99500;37,79560
45;18,18589;39,58174;11,06410;31,16827
46;48,82544;31,26916;6,09359;13,81182
47;16,76622;21,69394;31,64358;29,89627
49;3,32125;27,73705;9,85000;59,09170
50;8,21012;23,12628;8,96557;59,69802
52;13,16670;36,54274;2,12264;48,16792
53;3,09129;5,30046;28,20765;63,40061
54;17,86032;53,10846;10,24608;18,78515
55;11,62317;13,07427;35,92899;39,37357
57;21,42936;11,04091;16,16045;51,36929
61;38,44537;23,56771;10,09549;27,89142
62;14,13463;25,75629;21,12458;38,98450
64;13,93996;12,80214;7,64831;65,60960
65;9,55763;22,65569;10,37958;57,40709
68;32,04891;25,86134;12,18005;29,90970
69;16,31137;14,16996;6,69959;62,81908
72;9,86017;21,97535;11,57464;56,58984
77;21,29191;9,46501;9,06346;60,17962
78;12,62148;21,17748;14,93748;51,26356
79;10,38355;30,19665;21,34084;38,07897
80;28,54655;34,03888;16,39243;21,02213
83;8,93843;12,04063;35,73771;43,28323
84;1,69985;25,97200;9,63410;62,69405
86;7,26659;20,25967;0,68801;71,78573
87;20,24912;41,22287;10,75486;27,77315
88;23,06025;19,48495;35,64834;21,80646
89;21,38020;10,45059;32,34720;35,82201
91;26,46219;18,72154;5,52443;49,29184
93;4,89181;9,11466;22,12538;63,86815
94;7,87308;14,96754;31,68145;45,47794
95;7,84742;24,51896;8,99237;58,64125
100;13,47359;47,89663;0,87894;37,75083
101;7,93820;14,02466;9,34811;68,68902
103;10,12219;22,45181;24,47984;42,94615
106;14,99544;19,14944;17,47688;48,37823
107;6,04609;17,22131;17,85433;58,87827
108;14,26338;20,90847;13,93943;50,88872
109;15,87175;0,43973;14,00822;69,68030
110;27,86250;28,24789;10,83855;33,05107
111;7,82496;17,50433;35,64827;39,02244
113;31,13544;34,63306;18,18601;16,04549
114;10,90728;12,23316;10,85879;66,00078
116;22,47011;8,00317;12,64413;56,88259
117;24,49924;16,80872;15,87460;42,81744
119;13,41182;30,92993;35,07657;20,58168
124;14,15040;25,29724;22,22112;38,33124
125;15,61246;30,85517;5,37546;48,15691
127;5,22287;29,03765;4,27738;61,46210
128;12,46293;37,43968;9,69874;40,39865
129;15,74498;35,72826;8,36692;40,15984
131;18,49149;33,86071;17,93249;29,71532
132;17,89405;25,42653;39,95945;16,71997
133;8,75296;48,09198;2,54828;40,60679
136;7,70345;10,33585;12,22778;69,73293
138;11,80746;20,71813;20,77619;46,69822
139;13,54191;18,31340;43,82703;24,31766
140;21,45535;28,42202;1,71262;48,41001
141;12,60476;12,32449;38,64104;36,42971
142;23,31419;54,23268;0,44218;22,01094
148;10,50766;24,13742;9,68898;55,66594
149;22,01934;59,92384;17,15909;0,89773
151;22,78911;16,30818;32,07163;28,83108
152;9,96162;13,54731;20,69568;55,79539
153;21,30745;27,33819;20,66978;30,68458
155;19,18593;10,22958;9,49612;61,08837
156;15,05009;6,69168;29,70389;48,55434
